"CON_CID_CUST_ID","CON_RID_CONTACT","CON_CDE_PURPOSE","CON_NME_FIRST","CON_NME_LAST","CON_IND_DEFAULT","CON_TSP_REC_CREATE","CON_TSP_REC_UPDATE","CON_UID_REC_CREATE","CON_UID_REC_UPDATE","CON_IND_LOAN","CON_IND_SBLC","CON_IND_PRINCIPAL","CON_IND_INTEREST","CON_IND_FEE","CON_IND_INACTIVE","CON_CDE_LANGUAGE","CON_RID_PRIM_FAX","CON_RID_SCDY_FAX","CON_RID_ADDRESS","CON_RID_EXPR_ADDR","CON_NME_MIDDLE","CON_NME_PREFIX","CON_NME_PREFERRED","CON_NME_SALUTATION","CON_TXT_DEPT","CON_ADR_FLR_SUITE","CON_ADR_EXPR_SUITE","CON_TXT_JOB_FUNC","CON_TXT_TTL_CON","CON_PHN_PRIM_BSNS","CON_PHN_HOME_PHONE","CON_FAX_HOME","CON_PHN_SCDY_BSNS","CON_XID_EMAIL","CON_IND_BILL_RCPNT","CON_CDE_BRANCH"
"P=E6K597","KIE9B4E2","SERV ","John                ","Bloggs                             ","N","2020-04-27 17:17:29","2020-04-27 17:17:29","RPTINP01","RPTINP01","Y","Y","Y","Y","Y","N","ENG  ","","","","","                    ","                                        ","","","","","","","","3242342343","","","","john.bloggs@cba.com","N",""
"H4EAFKP1","H4EAFKPO","BILL ","EUGENE              ","HUGO                               ","N","2020-05-19 13:24:22","2020-05-19 13:24:22","JOBINP  ","JOBINP  ","Y","Y","Y","Y","Y","N","ENG  ","","","H4EAFKP3","H4EAFKP3","HUGE                ","                                        ","TAGURO              ","Mr                  ","Construction        ","","","Skilled Worker","Mr","7923637","6782477","","2458837","eugene@ccb.com","N",""
"F5EEX1HG","B.EF04YN","BILL ","Grylls              ","Bear                               ","N","2020-08-16 09:40:25","2020-08-16 09:40:25","WBAYERS ","WBAYERS ","Y","Y","Y","Y","Y","N","ENG  ","","","F5EEX1HJ","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}bear.grylls@gmails.com","N",""
"F5EEWBR0","B.EF0BAZ","BILL ","Grylls              ","Bear                               ","N","2020-08-16 11:10:21","2020-08-16 11:10:21","WBAYERS ","WBAYERS ","Y","Y","Y","Y","Y","N","ENG  ","","","F5EEWBR3","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}bear.grylls@gmails.com","N",""
"V-EF4H31","GZEF47XT","BILL ","Grylls              ","Bear                               ","N","2020-08-18 15:23:01","2020-08-18 15:23:01","WBAYERS ","WBAYERS ","Y","Y","Y","Y","Y","N","ENG  ","","","V-EF4H34","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}bear.grylls@gmails.com","N",""
"V+EF49HF","V+EF49RJ","BILL ","Vinnie              ","Jones                              ","N","2020-08-18 16:03:59","2020-08-18 16:04:29","ALNINP01","ALNINP01","Y","N","Y","Y","Y","N","ENG  ","","","V+EF49HH","","                    ","                                        ","","","","","","","","02 9876 1234","","","","vinnie.jones@lockstock.com","N",""
"9REF81R3","9VEF83HM","BILL ","Billy               ","Elliot                             ","N","2020-08-20 17:33:46","2020-08-20 17:33:46","INPRON01","INPRON01","Y","N","Y","Y","Y","N","ENG  ","","","9REF81R5","","                    ","                                        ","","","","","","","","029411111","","","","{BACKSPACE}Samiha.Bakhtiar@cba.com.au","N",""
")OEF88WW",")OEF88XC","SERV ","Vinnie              ","Jones                              ","N","2020-08-20 18:33:05","2020-08-20 18:33:05","MGRALN01","MGRALN01","Y","Y","Y","Y","Y","N","ENG  ","","",")OEF88WY","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
")VEF8DJ0",")VEF8DJG","SERV ","Vinnie              ","Jones                              ","N","2020-08-20 19:33:37","2020-08-20 19:33:37","INPALN01","INPALN01","Y","Y","Y","Y","Y","N","ENG  ","","",")VEF8DJ2","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
")XEF8B7Z",")XEF8B8D","SERV ","Vinnie              ","Jones                              ","N","2020-08-20 18:59:43","2020-08-20 18:59:43","INPALN01","INPALN01","Y","Y","Y","Y","Y","N","ENG  ","","",")XEF8B81","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
")?EF8978",")?EF897U","SERV ","JOHN                ","DOE                                ","N","2020-08-20 19:02:57","2020-08-20 19:02:57","SMANZANO","SMANZANO","Y","Y","Y","Y","Y","N","EN   ","","","","","                    ","                                        ","","","","","","","","1212313131313113","","","","johndoe@abc.com","N",""
"Y@EFF0L8","Y@EFF0LO","SERV ","IEE                 ","CBAOBU                             ","N","2020-08-24 10:31:06","2020-08-24 10:31:06","CMARTILL","CMARTILL","Y","Y","Y","Y","Y","N","ENG  ","","","Y@EFF0LA","","                    ","                                        ","","","","","","",""," ","","","","cbaobu@testmail.com","N",""
"CAEFH7KI","CAEFH85C","BILL ","John                ","Wick                               ","N","2020-08-25 16:00:14","2020-08-25 16:00:14","INPROS01","INPROS01","Y","Y","Y","Y","Y","N","ENG  ","","","","","                    ","                                        ","","","","","","","","181000","","","","kurtis.leabon@cba.com.au","N",""
"@*EFH8X0","@*EFH8XF","SERV ","Vinnie              ","Jones                              ","N","2020-08-25 15:02:32","2020-08-25 15:02:32","INPALN01","INPALN01","Y","Y","Y","Y","Y","N","ENG  ","","","@*EFH8X2","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
"Y?EFF2ED","1DEFIYAC","SALES","Robin               ","Hood                               ","N","2020-08-26 14:16:42","2020-08-26 14:16:42","INPAMT01","INPAMT01","Y","N","Y","Y","Y","N","ENG  ","","","Y?EFF2EF","","                    ","                                        ","","","","","","","","13 85 96","","","13 85 96","{BACKSPACE}winstone.tsang@cba.com.au","N",""
"CTEFHBUM","CTEFHBV1","SERV ","Vinnie              ","Jones                              ","N","2020-08-25 16:04:14","2020-08-25 16:04:14","INPALN01","INPALN01","Y","Y","Y","Y","Y","N","ENG  ","","","CTEFHBUO","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
"=REFJ68W","$ZEFJ71U","SALES","Robin               ","Hood                               ","N","2020-08-26 17:25:13","2020-08-26 17:25:13","INPAMT01","INPAMT01","Y","N","Y","Y","Y","N","ENG  ","","","=REFJ68Y","","                    ","                                        ","","","","","","","","13 85 96","","","13 85 96","{BACKSPACE}winstone.tsang@cba.com.au","N",""
"1KEFIX0F","1)EFIXEV","SERV ","Vinnie              ","Jones                              ","N","2020-08-26 12:56:37","2020-08-26 12:56:37","INPALN01","INPALN01","Y","Y","Y","Y","Y","N","ENG  ","","","1KEFIX0H","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
"?NEFKRY6","?NEFKSGC","SERV ","Vinnie              ","Jones                              ","N","2020-08-27 14:09:09","2020-08-27 14:09:09","INPALN01","INPALN01","Y","Y","Y","Y","Y","N","ENG  ","","","?NEFKRY8","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
"7NEFL00E","7NEFL03Z","SERV ","Vinnie              ","Jones                              ","N","2020-08-27 16:54:37","2020-08-27 16:54:37","INPALN01","INPALN01","Y","Y","Y","Y","Y","N","ENG  ","","","7NEFL00G","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
"XOEFL7K0","I+EFMIE3","SALES","Robin               ","Hood                               ","N","2020-08-28 11:14:42","2020-08-28 11:14:42","INPAMT01","INPAMT01","Y","N","Y","Y","Y","N","ENG  ","","","XOEFL7K2","","                    ","                                        ","","","","","","","","13 85 96","","","13 85 96","{BACKSPACE}winstone.tsang@cba.com.au","N",""
"I2EFMH43","I2EFMH4I","SERV ","Vinnie              ","Jones                              ","N","2020-08-28 11:20:53","2020-08-28 11:20:53","INPALN01","INPALN01","Y","Y","Y","Y","Y","N","ENG  ","","","I2EFMH45","","                    ","                                        ","","","","","","","","131100","","","131100","{BACKSPACE}portz.prany@cba.com.au","N",""
"U!EG6TSS","U!EG6TT7","SERV ","JOHN                ","BLACK                              ","N","2020-09-08 11:42:49","2020-09-08 11:42:49","JCUSR01 ","JCUSR01 ","Y","Y","Y","Y","Y","N","ENG  ","","","U!EG6TSU","","                    ","                                        ","","","","","","",""," ","","","","johncarlo.delacruz@finastra.com","N",""
"FCEG76R8","FREG77N6","SALES","Robin               ","Hood                               ","N","2020-09-08 15:30:49","2020-09-08 15:30:49","INPAMT01","INPAMT01","Y","N","Y","Y","Y","N","ENG  ","","","FCEG76RA","","                    ","                                        ","","","","","","","","13 85 96","","","13 85 96","{BACKSPACE}winstone.tsang@cba.com.au","N",""
"5VEH8D99","50EH8DLY","SERV ","John                ","Bloggs                             ","N","2020-09-28 17:03:20","2020-09-28 17:03:20","MIGGY_IN","MIGGY_IN","Y","Y","Y","Y","Y","N","ENG  ","","","5VEH8D9B","","                    ","                                        ","","","","","","","","1928727188","","","03 5029 9445","{BACKSPACE}john.blogg@abc.com","N",""
"4$EHBYTS","4?EHBZ6J","SERV ","John                ","Bloggs                             ","N","2020-09-30 15:55:28","2020-09-30 15:55:28","MIGGY_IN","MIGGY_IN","Y","Y","Y","Y","Y","N","ENG  ","","","4$EHBYTU","","                    ","                                        ","","","","","","","","1928727188","","","03 5029 9445","{BACKSPACE}john.blogg@abc.com","N",""
