"FRG_RID_FAX_GROUP","FRG_CID_CUST_ID","FRG_RID_LOCATION","FRG_TSP_REC_CREATE","FRG_TSP_REC_UPDATE","FRG_UID_REC_CREATE","FRG_UID_REC_UPDATE","FRG_NME_ALIAS","FRG_IND_ACTIVE","FRG_CDE_BRANCH","FRG_CDE_LOCATION","FRG_IND_STANDARD","FRG_NME_FAX_GROUP"
"H4EAFKQA","H4EAFKP1","H4EAFKPI","2020-05-19 13:28:41","2020-05-19 13:28:41","JOBINP  ","JOBINP  ","EHH                           ","Y","","ABB  ","N","HUGO"
"B.EF0BAC","F5EEX1HG","B.EF04YK","2020-08-16 10:57:43","2020-08-16 10:57:43","WBAYERS ","WBAYERS ","GB                            ","Y","","SYD  ","N","BEAR"
")VEF8EFV",")VEF8DJ0",")VEF8DJD","2020-08-20 19:39:24","2020-08-20 19:39:24","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"V8EF470J","5QEF3VVU","5QEF3VW8","2020-08-18 12:13:33","2020-08-18 12:13:33","LIQUSR05","LIQUSR05","SK                            ","Y","","AM   ","N","KRISHNAN"
"GZEF4BJS","V-EF4H31","GZEF47W6","2020-08-18 15:35:33","2020-08-18 15:35:33","WBAYERS ","WBAYERS ","GB                            ","Y","","SYD  ","N","BEAR"
"!3EF5RIV","ALEF5OUC","ALEF5OUM","2020-08-19 10:57:54","2020-08-19 10:57:54","RONINP01","RONINP01","BE                            ","Y","","SYD  ","N","ELLIOT"
")OEF89TR",")OEF88WW",")OEF88X9","2020-08-20 18:38:48","2020-08-20 18:38:48","MGRALN01","MGRALN01","VJ                            ","Y","","SYD  ","N","JONES"
")XEF8C4S",")XEF8B7Z",")XEF8B8A","2020-08-20 19:05:27","2020-08-20 19:05:27","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"Y3EFF0NB","Y3EFEZQB","Y3EFEZQT","2020-08-24 10:29:44","2020-08-24 10:29:44","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"(2EFGW8T","(IEFGRPX","(2EFGVHN","2020-08-25 10:12:11","2020-08-25 10:12:11","INPRON01","INPRON01","BE                            ","Y","","SYD  ","N","ELLIOT"
"7NEFL14I","7NEFL00E","7NEFL01A","2020-08-27 17:01:54","2020-08-27 17:01:54","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"I+EFMJ56","XOEFL7K0","I+EFMIE0","2020-08-28 11:18:22","2020-08-28 11:18:22","INPAMT01","INPAMT01","RH                            ","Y","","SYD  ","N","HOOD"
"I2EFMI0X","I2EFMH43","I2EFMH4F","2020-08-28 11:26:31","2020-08-28 11:26:31","INPALN01","INPALN01","VJ                            ","Y","","SYD  ","N","JONES"
"FREG78E9","FCEG76R8","FREG77N3","2020-09-08 15:34:33","2020-09-08 15:34:33","INPAMT01","INPAMT01","RH                            ","Y","","SYD  ","N","HOOD"
"*)EHA6FO","*4EHA4KI","*UEHA4X5","2020-09-29 16:18:03","2020-09-29 16:18:03","INPELY01","INPELY01","JB                            ","Y","","MEL  ","N","BLOGGS"
"TUEHE3NW",".*EHE1SI","TAEHE257","2020-10-01 19:13:27","2020-10-01 19:13:27","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"8TEHEC63","8ZEHEAAP","89EHEANE","2020-10-01 22:59:14","2020-10-01 22:59:14","INPELY01","INPELY01","JB                            ","Y","","MEL  ","N","BLOGGS"
"8@EHEI8U","8YEHEGDD","8JEHEGQ2","2020-10-02 00:28:20","2020-10-02 00:28:20","INPELY01","INPELY01","JB                            ","Y","","MEL  ","N","BLOGGS"
"7IEHN46Q","7(EHN2BK","7REHN2O7","2020-10-06 16:12:51","2020-10-06 16:12:51","INPELY01","INPELY01","JB                            ","Y","","MEL  ","N","BLOGGS"
"BBEHOL3N","UWEHCNU5","BNEHOJL1","2020-10-07 11:41:23","2020-10-07 11:41:23","ARFELI01","ARFELI01","MC                            ","Y","","NDL  ","N","CAMPOMANES"
"YXEHYPJ3","Y)EHYNO1","YEEHYO0N","2020-10-12 23:03:26","2020-10-12 23:03:26","MIGGY_IN","MIGGY_IN","JB                            ","Y","","MEL  ","N","BLOGGS"
"A?EHQRTR","$$EHNARP","ACEHQQK1","2020-10-08 15:40:07","2020-10-08 15:40:07","CESSINP1","CESSINP1","JJ                            ","Y","","AM   ","N","JONES"
"F$EHSHQM","UWEHCNQ1","FMEHSG7U","2020-10-09 14:42:36","2020-10-09 14:42:36","ARFELI01","ARFELI01","MC                            ","Y","","NDL  ","N","CAMPOMANES"
":REJE1E6","HFEJDN2Y",":(EJDZVQ","2020-11-09 16:27:22","2020-11-09 16:27:22","INPRON02","INPRON02","JB                            ","Y","","MEL  ","N","BLOGGS"
"((EJLGS6","(8EJLEWH","(OEJLF97","2020-11-13 15:40:03","2020-11-13 15:40:03","INPAMT02","INPAMT02","JB                            ","Y","","MEL  ","N","BLOGGS"
"2NEJVAIE","2WEJV8B4","2WEJV8K2","2020-11-19 00:22:13","2020-11-19 00:22:13","DANUSR01","DANUSR01","LSL                           ","Y","","SYD  ","N","LONG"
"K0E9B6IG","P=E6K597","J*E6SOO7","2020-04-27 18:09:49","2020-04-27 18:09:49","RPTINP01","RPTINP01","JB                            ","Y","","MEL  ","N","BLOGGS"
"6WEADKRU","6WEADK2S","6WEADK76","2020-05-18 11:49:29","2020-05-18 11:49:29","JOBINP  ","JOBINP  ","HMH                           ","Y","","ABB  ","N","HUGO"
