"CLO_CID_CUST_ID","CLO_CDE_PRFL_TYPE","CLO_CDE_LOCATION","CLO_RID_LOCATION","CLO_XID_TAXPAYER","CLO_CDE_TAX_EXEMP","CLO_DTE_FST_TRAN","CLO_DTE_LST_TRAN","CLO_IND_BRKFND_AGR","CLO_IND_WTCHFL_ACT","CLO_TSP_REC_CREATE","CLO_TSP_REC_UPDATE","CLO_UID_REC_CREATE","CLO_UID_REC_UPDATE","CLO_AMT_UNFN_RISK","CLO_CDE_UNFN_CCY","CLO_DTE_RISK_EXP","CLO_DTE_UNF_LST_AP","CLO_IND_UNFN_RISK","CLO_NUM_RISK_FREQ","CLO_RID_PROFILE","CLO_AMT_UNFN_USED","CLO_IND_COMPLETE","CLO_IND_QUAL_BUYER","CLO_CDE_LANGUAGE","CLO_IND_VAT_SUBJCT","CLO_TXT_VAT_NUMBER","CLO_TXT_LEND_RSSD","CLO_IND_AFFI_LEND","CLO_IND_FPML_ENB","CLO_CDE_BRANCH"
"H4EAFKP1","GUAR ","ABB  ","H4EAFKPI","","","","","","","2020-05-19 13:18:03","2020-05-19 13:18:03","JOBINP  ","JOBINP  ","","","","","","","H4EAFKPG","","N","","ENG  ","Y","Y              ","","","",""
"#.EEWMPJ","BORR ","SYD  ","#.EEWMQ3","","","","","","","2020-08-14 12:15:28","2020-08-14 12:15:28","ALNSUP01","ALNSUP01","","","","","","","#.EEWMPY","","N","","","Y","Y              ","","","",""
"F5EEX1HG","BORR ","SYD  ","B.EF04YK","","","","","","","2020-08-16 09:39:08","2020-08-16 09:40:38","WBAYERS ","WBAYERS ","","","","","","","B.EF04YD","","Y","","","N","10075843210    ","","","",""
"F5EEWBR0","BORR ","SYD  ","B.EF0BAW","","","2020-09-09 00:00:00","2020-09-09 00:00:00","","","2020-08-16 11:08:47","2020-08-16 11:10:37","WBAYERS ","WBAYERS ","","","","","","","B.EF0BAT","","Y","","","N","10075843210    ","","","",""
"LUEF3WHP","BORR ","SYD  ","LUEF3ZWY","","","","","","","2020-08-18 12:29:18","2020-08-18 12:29:18","ALNINP01","ALNINP01","","","","","","","LUEF3YHN","","N","","","Y","Y              ","","","",""
"A1EF5M56","BORR ","SYD  ","9:EF86GM","","","","","","","2020-08-20 17:33:18","2020-08-20 17:35:23","ALNINP01","ALNINP01","","","","","","","9:EF86GJ","","Y","","","N","7113133830     ","","","",""
"F5EEWSOR","BORR ","SYD  ","*7EF4LE6","","","","","","","2020-08-18 18:59:39","2020-08-18 19:01:12","WBAYERS ","WBAYERS ","","","","","","","*7EF4LE3","","Y","","","N","10075843210    ","","","",""
"F5EEVH5T","BORR ","SYD  ","F2EF7PPX","","","","","","","2020-08-20 11:46:36","2020-08-20 11:46:36","JCUSR01 ","JCUSR01 ","","","","","","","F2EF7PPU","","N","","","Y","Y              ","","","",""
"ZHEF7YY1","BORR ","AM   ","ZHEF7YYE","","","2020-05-27 00:00:00","2020-07-08 00:00:00","","N","2020-08-20 14:59:39","2020-08-20 16:28:23","JAQUITAN","JAQUITAN","","","","","","","ZHEF7YYB","","Y","","","N","               ","","","",""
")?EF8978","BORR ","AM   ",")?EF897P","","","2020-05-27 00:00:00","2020-05-29 00:00:00","","N","2020-08-20 18:57:43","2020-08-20 19:31:36","SMANZANO","SMANZANO","","","","","","",")?EF897M","","Y","","","N","               ","","","",""
"9REF81R3","BORR ","SYD  ","9VEF83HJ","","","","","","","2020-08-20 17:31:57","2020-08-20 17:34:04","INPRON01","INPRON01","","","","","","","9VEF83HG","","Y","","","N","14162984821    ","","","",""
")VEF8DJ0","BORR ","SYD  ",")VEF8DJD","","","","","","","2020-08-20 19:31:55","2020-08-20 19:33:57","INPALN01","INPALN01","","","","","","",")VEF8DJA","","Y","","","N","               ","","","",""
")XEF8B7Z","BORR ","SYD  ",")XEF8B8A","","","","","","","2020-08-20 18:58:04","2020-08-20 19:00:02","INPALN01","INPALN01","","","","","","",")XEF8B87","","Y","","","N","               ","","","",""
"=REFJ68W","BORR ","SYD  ","$ZEFJ71R","","","","","","","2020-08-26 17:23:48","2020-08-26 17:25:29","INPAMT01","INPAMT01","","","","","","","$ZEFJ71O","","Y","","","N","02568049389    ","","","",""
"$#EFJ9I3","BORR ","SYD  ","$#EFJ9L0","","","2020-09-10 00:00:00","2020-09-10 00:00:00","","","2020-08-26 18:23:05","2020-08-26 18:25:07","INPALN01","INPALN01","","","","","","","$#EFJ9KE","","Y","","","N","485594494      ","","","",""
"7NEFL00E","BORR ","SYD  ","7NEFL01A","","","","","","","2020-08-27 16:52:11","2020-08-27 16:55:02","INPALN01","INPALN01","","","","","","","7NEFL00N","","Y","","","N","3445566554     ","","","",""
"U!EG6TSS","TPRCP","SYD  ","U.EG6VXQ","","","","","","","2020-09-08 11:59:32","2020-09-08 12:40:22","JCUSR01 ","JCUSR01 ","","","","","","","U.EG6VXO","","Y","","","Y","00000000000    ","","","",""
"I2EFMH43","BORR ","SYD  ","I2EFMH4F","","","2020-09-11 00:00:00","2020-09-11 00:00:00","","","2020-08-28 11:19:21","2020-08-28 11:21:14","INPALN01","INPALN01","","","","","","","I2EFMH4C","","Y","","","N","54545654654    ","","","",""
"HSE54URS","BORR ","AM   ",";LEGX0N2","","","","","","","2020-09-22 15:13:06","2020-09-22 15:13:06","DANUSR01","DANUSR01","","","","","","",";LEGX0MA","","N","","","N","N              ","","","",""
".6EHDTXC","BORR ","MEL  ",".MEHDUA1","","","","","","","2020-10-01 17:10:25","2020-10-01 17:12:19","INPELY01","INPELY01","","","","","","",".MEHDU9Y","","Y","","","N","               ","","","",""
".QEHDXKP","BORR ","MEL  ",".LEHDXXE","","","","","","","2020-10-01 18:29:45","2020-10-01 18:31:45","INPELY01","INPELY01","","","","","","",".LEHDXXB","","Y","","","N","               ","","","",""
"8ZEHEAAP","BORR ","MEL  ","89EHEANE","","","","","","","2020-10-01 22:28:28","2020-10-01 22:30:27","INPELY01","INPELY01","","","","","","","89EHEANB","","Y","","","N","               ","","","",""
"8YEHEGDD","BORR ","MEL  ","8JEHEGQ2","","","","","","","2020-10-02 00:01:13","2020-10-02 00:03:09","INPELY01","INPELY01","","","","","","","8JEHEGPZ","","Y","","","N","               ","","","",""
"W-EHL8IC","BORR ","MEL  ","W:EHL8UY","","","2021-01-19 00:00:00","2021-01-19 00:00:00","","","2020-10-05 16:23:42","2020-10-05 16:25:59","MIGGY_IN","MIGGY_IN","","","","","","","W:EHL8UV","","Y","","","N","               ","","","",""
"Y)EHYNO1","BORR ","MEL  ","YEEHYO0N","","","2021-03-01 00:00:00","2021-03-01 00:00:00","","","2020-10-12 22:43:45","2020-10-12 22:45:57","MIGGY_IN","MIGGY_IN","","","","","","","YEEHYO0K","","Y","","","N","               ","","","",""
"7(EHN2BK","BORR ","MEL  ","7REHN2O7","","","","","","","2020-10-06 15:45:52","2020-10-06 15:49:20","INPELY01","INPELY01","","","","","","","7REHN2O4","","Y","","","N","               ","","","",""
"UWEHCNQ1","BORR ","NDL  ","FMEHSG7U","","","","","","","2020-10-09 14:27:03","2020-10-09 14:28:55","ARFELI01","ARFELI01","","","","","","","FMEHSG7R","","Y","","","Y","               ","","","",""
"1;EJ2T99","BORR ","MEL  ","1REJ2TLW","","","","","","","2020-11-03 15:21:13","2020-11-03 15:23:38","INPAMT01","INPAMT01","","","","","","","1REJ2TLT","","Y","","","N","               ","","","",""
"1KEJ2OU2","BORR ","MEL  ","1UEJ2P6P","","","","","","","2020-11-03 13:45:10","2020-11-03 13:47:26","INPAMT01","INPAMT01","","","","","","","1UEJ2P6M","","Y","","","N","               ","","","",""
"HFEJ74QP","BORR ","MEL  ","7QEJ758N","","","","","","","2020-11-05 23:24:40","2020-11-05 23:24:40","DANUSR01","DANUSR01","","","","","","","7QEJ758I","","N","","","N","N              ","","","",""
"HFEJ773H","BORR ","MEL  ","7VEJ77ME","","","","","","","2020-11-06 00:15:45","2020-11-06 00:17:22","DANUSR01","DANUSR01","","","","","","","7VEJ77M9","","Y","","","N","10075843210    ","","","",""
"HFEJ773H","BORR ","SYD  ","7VEJ7837","","","","","","","2020-11-06 00:20:54","2020-11-06 00:22:38","DANUSR01","DANUSR01","","","","","","","7VEJ77M9","","Y","","","N","10075843210    ","","","",""
"(.EJLEOZ","BORR ","MEL  ","(TEJLF1Q","","","","","","","2020-11-13 14:58:44","2020-11-13 14:58:44","INPAMT02","INPAMT02","","","","","","","(TEJLF1L","","N","","","N","N              ","","","",""
"(8EJLEWH","BORR ","MEL  ","(OEJLF97","","","2021-11-01 00:00:00","2021-11-01 00:00:00","","","2020-11-13 15:12:06","2020-11-13 15:13:49","INPAMT02","INPAMT02","","","","","","","(OEJLF94","","Y","","","N","               ","","","",""
"M.EJQR6A","BORR ","MEL  ","M8EJQRV5","","","2021-11-03 00:00:00","2021-11-03 00:00:00","","","2020-11-16 12:31:04","2020-11-16 12:33:05","INPAMT01","INPAMT01","","","","","","","M8EJQRV2","","Y","","","N","               ","","","",""
"*-EK61H0","BORR ","MEL  ","E.EK797B","","","","","","","2020-11-25 11:29:25","2020-11-25 11:59:30","INPDEL01","INPDEL01","","","","","","","E.EK796F","","Y","","","Y","100012345      ","","","",""
"6WEADK2S","GUAR ","ABB  ","6WEADK76","","","","","","","2020-05-18 11:37:16","2020-05-18 11:50:18","JOBINP  ","JOBINP  ","","","","","","","6WEADK5H","","Y","","","Y","               ","","","",""
"5QEF3VVU","BORR ","AM   ","5QEF3VW8","","","2020-05-27 00:00:00","2021-03-01 00:00:00","","N","2020-08-18 08:44:32","2020-08-18 12:17:14","LIQUSR05","LIQUSR05","","","","","","","5QEF3VW5","","Y","","","N","               ","","","",""
