CRI_CID_CUST_ID,CRI_RID_REM_INSTR,CRI_IND_LOAN,CRI_IND_SBLC,CRI_IND_INCOMING,CRI_IND_OUTGOING,CRI_IND_PRINCIPAL,CRI_IND_INTEREST,CRI_IND_FEES,CRI_DSC_REM_INSTR,CRI_CDE_REM_METHOD,CRI_IND_DEFAULT,CRI_TSP_REC_CREATE,CRI_TSP_REC_UPDATE,CRI_UID_REC_CREATE,CRI_UID_REC_UPDATE,CRI_CDE_CURRENCY,CRI_IND_APPROVED,CRI_IND_AUTO_DOIT,CRI_IND_SIMPLIFIED,CRI_XID_DDA_ACCT,CRI_CDE_CHIPS_NUM,CRI_CDE_ABA_NUM,CRI_XID_CHIPS_UID,CRI_XID_BENF_ACCT,CRI_CDE_BENF_TYPE,CRI_CDE_DIVISION,CRI_UID_APPRV_USER,CRI_XID_BOOK_AC_NO,CRI_XID_SWIFT_BIC,CRI_CDE_NOSTRO_NTF,CRI_TXT_TLX_DL_DGS,CRI_TXT_TLX_ANS_BK,CRI_NME_DDA_ACCT,CRI_TXT_IMT_FAX,CRI_AMT_IMT_THRSHL,CRI_XID_CUSTODY_AC,CRI_IND_SAVINGS_AC,CRI_CDE_BRANCH
P=E6K597,KIE9B4E6,Y,Y,Y,Y,Y,Y,Y,"DDA1                ","DDA  ",Y,2020-04-27 17:22:22,2020-04-27 18:00:07,RPTINP01,RPTMGR01,AUD,Y,Y,N,"23434433443                       ",,,,"                                  ",,,RPTMGR01,,,,,,CBA Domestic Account,,0,,N,
P=E6K597,KIE9B4EJ,Y,Y,Y,Y,Y,Y,Y,"RTGS1               ","RTGS ",Y,2020-04-27 17:24:20,2020-04-27 18:01:16,RPTINP01,RPTMGR01,AUD,Y,Y,N,,,,,"                                  ",,,RPTMGR01,,,,,,,,0,,N,
H4EAFKP1,H4EAFKQ0,Y,Y,Y,Y,Y,Y,Y,"DDA1                ","DDA  ",Y,2020-05-19 13:25:58,2020-05-19 13:56:39,"JOBINP  ","EUGAPP  ",AUD,Y,N,N,"357261356                         ",,,,"                                  ",,,"EUGAPP  ",,,,,,Sample Account,,0,"F2561                             ",N,
ZHEF7YY1,ZXEF80SO,Y,Y,Y,Y,Y,Y,Y,"IMT1                ","IMT  ",Y,2020-08-20 15:37:14,2020-08-24 14:20:19,JAQUITAN,JANICEA2,EUR,Y,N,N,,,,,"                                  ",,,JANICEA2,,,,,,,,0,,N,
KQEF6H17,ZNEF8060,Y,Y,Y,N,Y,Y,Y,RTGS2- FROM CUSTOMER,"RTGS ",Y,2020-08-20 15:18:31,2020-08-20 15:18:31,INPRON01,INPRON01,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,,
A1EF5M56,9:EF86WZ,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-20 17:38:43,2020-08-20 17:49:17,ALNINP01,DHENDERS,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,N,
A1EF5M56,9:EF86GU,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-20 17:36:33,2020-08-20 17:52:37,ALNINP01,ALNINP01,AUD,Y,N,N,,,,,"                                  ",,,ALNINP01,,,,,,,Account Name: Anihant Trading Company,0,,N,
)OEF88WW,)OEF88XH,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-20 18:34:39,2020-08-20 18:46:51,MGRALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,Account Name: Anihant Trading Company,0,,N,
)OEF88WW,)OEF89DM,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-20 18:37:01,2020-08-20 18:47:19,MGRALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,,0,,N,
V-EF4H31,GZEF47ZS,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-18 15:24:03,2020-08-18 15:25:10,"WBAYERS ","WBAYERS ",AUD,N,N,N,,,,,"                                  ",,,,,,,,,,Account Name: MNC Company Ltd,0,,,
V-EF4H31,GZEF48G6,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-18 15:25:51,2020-08-18 15:44:39,"WBAYERS ",DHENDERS,AUD,N,N,N,,,,,"                                  ",,,,,,,,,,,0,,N,
V+EF49HF,V+EF49Z9,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-18 16:07:22,2020-08-18 18:45:38,ALNINP01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,,0,,N,
V+EF49HF,V+EF4API,Y,Y,Y,N,Y,Y,Y,RTGS2 - FROM CUSTOME,"RTGS ",Y,2020-08-18 16:15:39,2020-08-18 18:45:25,ALNINP01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,,0,,N,
)XEF8B7Z,)XEF8B8I,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-20 19:01:07,2020-08-20 19:11:47,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,Account Name: Anihant Trading Company,0,,N,
)XEF8B7Z,)XEF8BON,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-20 19:03:27,2020-08-20 19:12:16,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,,0,,N,
)?EF8978,)?EF897Y,Y,Y,Y,Y,Y,Y,Y,"IMT1                ","IMT  ",Y,2020-08-20 19:05:30,2020-08-24 16:53:00,SMANZANO,MANZANOM,EUR,Y,Y,N,,,,,"                                  ",,,MANZANOM,,,,,,,,1000000,,N,
)VEF8DJ0,)VEF8DZQ,Y,Y,Y,N,Y,Y,Y,RTGS2 -FROM CUSTOMER,"RTGS ",Y,2020-08-20 19:37:26,2020-08-20 19:46:21,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,,0,,N,
)VEF8DJ0,)VEF8DJL,Y,Y,N,Y,Y,Y,Y,"RTGS1 - TO CUSTOMER ","RTGS ",Y,2020-08-20 19:35:06,2020-08-20 19:45:50,INPALN01,DHENDERS,AUD,Y,N,N,,,,,"                                  ",,,DHENDERS,,,,,,,Account Name: Anihant Trading Company,0,,N,
)3EF892G,EZEF8EHI,Y,Y,Y,N,Y,Y,Y,RTGS2- FROM CUSTOMER,"RTGS ",Y,2020-08-20 20:12:17,2020-08-20 20:19:17,INPRON01,MGRRON01,AUD,Y,N,N,,,,,"                                  ",,,MGRRON01,,,,,,,,0,,N,
