"UPT_UID_USERID","UPT_NME_USER_LAST","UPT_NME_USER_FIRST","UPT_NME_USER_MI","UPT_XID_SOC_SEC","UPT_UID_USER_MGR","UPT_CDE_JOB_FUNC","UPT_CDE_TITLE","UPT_CDE_EXPENSE","UPT_CDE_BANK","UPT_CDE_BRANCH","UPT_CDE_PROFILE","UPT_ADR_MAIL_STOP","UPT_TSP_REC_CREATE","UPT_TSP_REC_UPDATE","UPT_UID_REC_CREATE","UPT_UID_REC_UPDATE","UPT_UID_TEMPLATE","UPT_IND_SLG","UPT_CDE_SALES_GRP","UPT_CDE_PROC_AREA","UPT_CDE_SALES_TEAM","UPT_IND_RSKBK_VALL","UPT_CDE_COUNTRY","UPT_RID_LOCATION","UPT_CDE_LANGUAGE","UPT_TXT_ALIAS","UPT_XID_EMAIL_ID","UPT_PHN_1_NUMBER","UPT_PHN_2_NUMBER","UPT_FAX_1_NUMBER","UPT_FAX_2_NUMBER","UPT_TXT_ADDRESS","UPT_TXT_FUNCTION"
"PETURNER","TURNER              ","PETER               "," ","","","DAM  ","MC   ","","CBA  ","CB001","I    ","","2019-04-03 23:55:54","2019-10-18 07:41:39","LS2BATCH","ADM_PETE","Custom  ","N","","AUSNA","","N","AU","I(D8QAEV","ENG  ","","","","","","","","22222 222 2 22210202222 222 222222 01  20200111 02 220222222 222 2222            2   222 0002222222022 222 2     2222200000000000000022111 2 2021222222222222022211  2002022222222222202 222222201222002222002021 210222222222222222 0212122222200111000012 22022222 22202022022022020200020   02 2   22202222221222000200022222200222222022022 0020022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 000000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000000000000000000000020000000000000000000000000000200002000202 00000000  220222222200022022 022 0200000000000  002200000020 200002 0000002222  002    0020          02 2 222     22 2220 20022  222  0    20000000 022 22 202 2020 0 0 0 2   02  2200000000200         02 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 111     222  02  2 2001   22 0002 21  00   00000 0  0    0 00   0     001 2 222      22 0 0 00   2     00      000000002      2  2  0  22000000010   2  2       00000000222    2   22000000 0  1 0         0 0   00000     0      000000000 0000000 000              002     0000        220 0 00  20  0000        0   0    022222 22             0 00 2 0 0    0 20 2000000000000000000000000 0 2  000              2222    0000000000001012 00011 20      000 0000    22   20 2  1   222 2    0       10  20200 002  022222222222222222222222222222222222222222222222222222 22222222222222222222222222222222 0022 00022222200 0000022 200000222222222000  0022 0 0000000 000 2000020   000"
"KANDERSO","ANDERSON            ","KARYN               ","L","","","DAM  ","CLR  ","","CBA  ","CB001","I    ","","2019-04-03 23:55:55","2019-08-01 08:10:01","LS2BATCH","ADMIN1  ","Custom  ","N","","AUSNA","","N","AU","I(D8QAEV","ENG  ","","","","","","","","22222 222 2 22220202222 222 222222 02  21220222 22 222222222 222 2222            2   222 2022222222222 222 2     2222200000000000000022111 2 2221222222222222222222  2112122222222222202 222222222222222222202222 222222222222222222 2222222222222221220022 22022222 22222222022022020200022   02 2   22202222221222000200022222200222222222022 2220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 000000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002200202 00000000  220222222200222022 022 0200000000000  022200000220 220002 0000002222  002    0020          02 2 222     22 2220 20022  222  0    22222222 022 22 202 2020 0 0 0 2   02  2200000000202         00 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 111     222  02  2 2021   22 0002 21  00   00000 0  0    0 20   0     001 2 222      22 0 0 02   2     00      000000002      0  2  0  22000000010   2  2       00000000222    2   22000000 0  1 0         0 0   00000     0      000000000 0000000 000              022     0000        220 0 00  22  0000        0   0    022222 22             0 00 2 0 0    0 20 2000001000000000000000000 0 2  000              2222    0000000000001012 00022 20      000 0020    22   20 2  0   222 2    2       10  20200 000  022222222222222222222222222222222222222222222222222222222222222222222222222222222222222 0022 00022222200 0000022 200000222222222000  0022 0 0000000 000 2000020   0"
"DONALD98","NGUYEN              ","DONALD              "," ","","","DAM  ","CLR  ","","CBA  ","CB001","I    ","","2019-04-03 23:55:55","2019-06-26 09:41:39","LS2BATCH","ADM_PETE","Custom  ","N","","AUSAG","","N","AU","I(D8QAEV","ENG  ","","","","","","","","22222 222 2 22210202222 222 222222 01  20200111 02 220222222 222 2222            2   222 0002222222022 222 2     2222200000000000000022111 2 2221222222222222022211  2002022222222222202 222222201222002222002021 210222222222222222 0212122222200111000012 12022222 22202022022022020200020   02 2   22202222221222000200022222200222222022022 0020022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 000000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000200000000000000000020000000000000000000000000002200002000202 00000000  220222222200022022 022 0200000000000  002200000220 200002 0000002222  002    0020          02 2 222     22 2220 20022  222  0    20000000 022 22 202 2020 0 0 0 2   02  2200000000200         02 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 222     222  02  2 2002   22 0002 22  00   00000 0  0    0 00   0     002 2 222      22 0 0 00   2     00      000000002      2  2  0  22000000020   2  2       00000000222    2   22000000 0  2 0         0 0   00000     0      000000000 0000000 000              002     0000        220 0 00  20  0000        0   0    022222 22             0 00 2 0 0    0 20 2000000000000000000000000 0 2  000              2222    0000000000002012 00011 20      000 0000    22   20 2  1   222 2    0       20  20200 000  022222222222222222222222222222222222222222222222222222222222222222222222222222222222222 0022 00022222200 0000022 200000222222222000  0022 0 0000000 000 2000020   000"
"LS2FAX  ","SERVER              ","FAX                 "," ","","","","","","","","I    ","","2019-04-03 23:55:55","2020-01-20 20:15:49","LS2BATCH","LS2BATCH","","N","","","","N","US","","ENG  ","","","","","","",""," "
"ONLBATCH","ACCRUAL             ","ONLINE              "," ","","","","","","","","I    ","","2019-04-03 23:55:55","2020-01-20 20:15:49","LS2BATCH","LS2BATCH","","N","","","","N","US","","ENG  ","","","","","","",""," "
"LS2LOCK ","LOCKER              ","TIMEZONE            "," ","","","","","","","","I    ","","2019-04-03 23:55:55","2020-01-20 20:15:49","LS2BATCH","LS2BATCH","","N","","","","N","US","","ENG  ","","","","","","",""," "
"LOANIQ01","USER 01             ","LOAN IQ             "," ","","","DAM  ","CLR  ","","CBA  ","CB001","U    ","","2005-08-23 15:56:41","2020-05-01 14:50:35","ADMIN2  ","LOANIQ02","Custom  ","N","","AUSNA","","Y","AU","AMDPAOVZ","ENG  ","","","","","","","","22222 222 2 22222222222 222 222222 22  22222222 22 222222222 222 2222            2   222 2222222222222 222 2     2222200000000000000022222 2 2222222222222222222222  2222222222222222222 222222222222222222222222 222222222222222222 2222222222222222222222 22222222 22222222222222222222222   02 2   22222222222222000200222222200222222222222 2220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 022000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002222222 22222222  222222222222222222 022 0222222222220  222200000222 222222 0222222222  002    2220          22 2 222     22 2220 22222  222  0    22222222 022 22 202 2020 2 2 0 2   02  2200000000202         02 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 222     222  02  2 2022   22 0002 22  00   22000 0  0    0 20   0     002 2 222      22 0 0 02   2     20      222222202      2  2  2  22222222222   2  2       22222222222    2   22000000 2  2 2         2 0   00000     0      000000000 0000000 000              222     0000        222 2 22  22  0000        2   0    022222 22             0 22 2 0 2    2 20 2222222222222222222222222 2 2  222              2222    0000000000002022 00011 22      000 2020    22   22 2  2   222 2    2       20  22220 222  222222222222222222222222222222222222222222222222222222 22222222222222222222222222222222 2222 00022222222 0022222 2220002222222222      22   2220000  00 2200022    00  00 0   2  0"
"LOANIQ02","USER 02             ","LOAN IQ             "," ","","","SAD  ","ASC  ","","CBA  ","CB001","U    ","","2005-08-23 15:57:38","2019-04-03 23:55:54","ADMIN2  ","LS2BATCH","DA      ","N","","AUSNA","","N","AU","I(D8QAEV","ENG  ","","","","","","","","22222 222 2 22202222222 222 222222 02  21122000 22 220222222 222 222222  2 2222222  222022022222222222 22222     22222               2222222 2022222222222200221222  2212121222201102222 2222222222222222222222222222200000000000000 2222222222222222222222 0202222222222                       2 2"
"FOULISTR","FOULIS              ","TRAVIS              "," ","","","DAM  ","ASC  ","","CBA  ","CB001","U    ","","2019-04-03 23:55:54","2020-11-11 13:53:46","LS2BATCH","BRIANMOK","Custom  ","N","","AUSNA","","N","AU","I(D8QAEV","ENG  ","","","","","","","","22222 222 2 22220202222 222 222222 02  21220222 22 222222222 222 2222            2   222 2022222222222 222 2     2222200000000000000022111 2 2221222222222222222222  2112122222222222202 222222222222222222202222 222222222222222222 2222222222222221220022 22022222 22222222022022020200022   02 2   22202222221222000200022222200222222222022 0220022222222222222222222222222222222222220022222222222222222 22222222222222222222222222222222222222222222222222222222222222222222222022222222220  0 000000221222  00000 0 00000000 0  0                   000000000 00 0000000000        0         000000000000000000000         0 0000000000000000  0000        0     0    00      000000000 0  0  00 0    0000000 000000220000000000000000020000000000000000000000000002200002200202 00000000  220222222200222022 022 0200000000000  022200000220 220002 0000002222  002    0020          02 2 222     22 2220 20022  222  0    22222222 022 22 202 2020 0 0 0 2   02  2200000000202         00 0   22 2   0 20   0000  0 00000000000000  0 0000000000000000000000000000000000 00000 000000000 0000 0000 00000000000000000000000000000000000 00000000000          0    0   00                   0         0000 0        0                   0                   0  0 222 2 222     222  02  2 2022   22 0002 22  00   00000 0  0    0 20   0     002 2 222      22 0 0 02   2     00      000000002      0  2  0  22000000020   2  2       00000000222    2   22000000 0  2 0         0 0   00000     0      000000000 0000000 000              022     0000        220 0 00  22  0000        0   0    022222 22             0 00 2 0 0    0 20 2000001000000000000000000 0 2  000              2222    0000000000002012 00022 20      000 0020    22   20 2  0   222 2    2       20  20200 000  022222222222222222222222222222222222222222222222222222222222222222222222222222222222222 0022 00022222200 0000022 200000222222222000  0022 0 0000000 000 2000020   000"
"GIBLINC ","GIBLIN              ","CHRIS               "," ","","","DAM  ","CLR  ","","CBA  ","CB001","I    ","","2019-04-03 23:55:54","2020-10-22 06:04:54","LS2BATCH","LOANIQ01","Custom  ","N","","AUSNA","","N","AU","I(D8QAEV","ENG  ","","","","","","","","00000000000000020000000000000000000000000200222000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000002000000000000000000020000222222222222222222222222222222222222200222222222222222220222222222222222222222222222222222222222222222222222222222222222222222220222222222200000000000022000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000020000000000000020000000000000022000000000000000000000022222220200000000000000000000000200200000000222222200020220002202200000000002000020000000000000000000022000000000000000000000000200000022200000000020002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002200000000000002000000202000000200000002000000000000000000000000000000000000000200020000000000000000000000000000000000000000000000020020000000000000000000200200000220000000000000002000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000220000000220000002000000020000000000000220020000000000000000000000202000000000000000000000000000000000000200002200000000020002020000000000000000000200000002000000000000000000000000000000000000200000000000000000020200000200022222222222222222222222222222222222222222222222222222022222222222222222222222222222222000220000222222000000002202000002222222220000000200000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
